	SPU_peptide	diadema.best
OG0000417	SPU_015562, SPU_025522	TRINITY_DN335677_c0_g1_i1.p1.p1, TRINITY_DN347205_c0_g1_i1.p1.p1, TRINITY_DN69698_c0_g1_i1.p1.p1
OG0000418	SPU_015650	TRINITY_DN9489_c0_g1_i11.p1.p1, TRINITY_DN9489_c0_g1_i3.p1.p1, TRINITY_DN9489_c0_g1_i6.p1.p1, TRINITY_DN9489_c0_g1_i7.p1.p1
OG0000419	SPU_016145, SPU_018036	TRINITY_DN19831_c1_g1_i5.p1.p1, TRINITY_DN33130_c0_g1_i3.p1.p1, TRINITY_DN37261_c0_g1_i1.p1.p1
OG0000420	SPU_016207	TRINITY_DN403189_c0_g1_i2.p1.p1, TRINITY_DN56908_c0_g1_i2.p1.p1, TRINITY_DN5916_c2_g1_i5.p1.p1, TRINITY_DN88803_c0_g1_i1.p1.p1
OG0000421	SPU_016290, SPU_017880	TRINITY_DN78612_c0_g1_i2.p1.p1, TRINITY_DN94988_c0_g1_i1.p1.p1, TRINITY_DN94988_c0_g2_i4.p1.p1
OG0000422	SPU_016540	TRINITY_DN10884_c0_g1_i10.p2.p1, TRINITY_DN10884_c0_g1_i5.p2.p1, TRINITY_DN1860_c1_g1_i1.p1.p1, TRINITY_DN1860_c1_g1_i2.p1.p1
OG0000423	SPU_016608, SPU_023082, SPU_025876	TRINITY_DN357020_c0_g1_i1.p1.p1, TRINITY_DN407002_c0_g1_i1.p1.p1
OG0000424	SPU_016663, SPU_024464	TRINITY_DN665_c1_g1_i5.p1.p1, TRINITY_DN665_c1_g1_i7.p1.p1, TRINITY_DN665_c3_g1_i1.p1.p1
OG0000425	SPU_016734, SPU_018772, SPU_018773, SPU_024552	TRINITY_DN23089_c0_g1_i1.p1.p1
OG0000426	SPU_016892, SPU_022547	TRINITY_DN182171_c0_g1_i1.p1.p1, TRINITY_DN1878_c1_g1_i7.p2.p1, TRINITY_DN69970_c0_g1_i1.p1.p1
OG0000427	SPU_017342, SPU_023707	TRINITY_DN39836_c0_g1_i3.p1.p1, TRINITY_DN39836_c0_g1_i5.p2.p2, TRINITY_DN39836_c0_g1_i6.p1.p1
OG0000428	SPU_017841, SPU_021386	TRINITY_DN12843_c0_g1_i5.p1.p1, TRINITY_DN140026_c0_g1_i1.p1.p1, TRINITY_DN20484_c0_g1_i1.p1.p1
OG0000429	SPU_017930	TRINITY_DN3359_c0_g1_i4.p1.p1, TRINITY_DN3359_c0_g1_i4.p2.p2, TRINITY_DN3359_c0_g1_i6.p1.p1, TRINITY_DN3359_c0_g1_i6.p2.p2
OG0000430	SPU_018581	TRINITY_DN9544_c0_g1_i1.p1.p1, TRINITY_DN9544_c0_g1_i3.p1.p1, TRINITY_DN9544_c0_g1_i5.p1.p1, TRINITY_DN9544_c0_g1_i6.p1.p1
OG0000431	SPU_018729	TRINITY_DN112125_c0_g1_i1.p2.p1, TRINITY_DN198356_c0_g1_i1.p1.p1, TRINITY_DN25272_c1_g1_i2.p1.p1, TRINITY_DN29972_c0_g1_i3.p1.p1
OG0000432	SPU_018807	TRINITY_DN6519_c0_g1_i15.p1.p1, TRINITY_DN6519_c0_g1_i16.p1.p1, TRINITY_DN6519_c0_g1_i23.p1.p1, TRINITY_DN6519_c0_g1_i9.p1.p1
OG0000433	SPU_018958	TRINITY_DN138771_c0_g1_i1.p1.p1, TRINITY_DN226875_c0_g1_i1.p1.p1, TRINITY_DN301288_c0_g1_i1.p1.p1, TRINITY_DN5366_c0_g1_i2.p1.p1
OG0000434	SPU_019556	TRINITY_DN3583_c1_g1_i10.p1.p1, TRINITY_DN3583_c1_g1_i3.p1.p1, TRINITY_DN3583_c1_g1_i8.p1.p1, TRINITY_DN3583_c1_g1_i9.p1.p1
OG0000435	SPU_019733, SPU_021304, SPU_022175	TRINITY_DN1667_c0_g1_i3.p1.p1, TRINITY_DN1667_c0_g1_i3.p2.p3
OG0000436	SPU_020074	TRINITY_DN57788_c0_g1_i1.p1.p1, TRINITY_DN57788_c0_g1_i3.p1.p1, TRINITY_DN57788_c0_g1_i4.p1.p1, TRINITY_DN57788_c0_g1_i8.p1.p1
OG0000437	SPU_020298, SPU_028661	TRINITY_DN1287_c0_g1_i7.p1.p1, TRINITY_DN1287_c0_g1_i7.p3.p2, TRINITY_DN1287_c0_g1_i8.p1.p1
OG0000438	SPU_020531	TRINITY_DN34041_c0_g1_i15.p1.p1, TRINITY_DN34041_c0_g1_i18.p1.p1, TRINITY_DN34041_c0_g1_i21.p1.p1, TRINITY_DN34041_c0_g1_i4.p1.p1
OG0000439	SPU_020777, SPU_024972, SPU_028808	TRINITY_DN37770_c0_g1_i6.p1.p1, TRINITY_DN39860_c0_g1_i2.p1.p1
OG0000440	SPU_020944, SPU_021113, SPU_025277	TRINITY_DN100383_c0_g1_i2.p1.p1, TRINITY_DN220482_c0_g1_i1.p1.p1
OG0000441	SPU_020982, SPU_020984, SPU_026525	TRINITY_DN73897_c0_g1_i4.p1.p1, TRINITY_DN73897_c1_g3_i1.p1.p1
OG0000442	SPU_021632, SPU_023039, SPU_027555	TRINITY_DN12404_c0_g1_i1.p1.p1, TRINITY_DN190130_c0_g1_i2.p1.p1
OG0000443	SPU_021874	TRINITY_DN22622_c0_g1_i2.p1.p1, TRINITY_DN22622_c0_g1_i3.p1.p1, TRINITY_DN22622_c0_g1_i4.p1.p1, TRINITY_DN22622_c0_g1_i7.p1.p1
OG0000444	SPU_022204, SPU_023704	TRINITY_DN145034_c0_g1_i2.p1.p1, TRINITY_DN1908_c0_g1_i1.p1.p1, TRINITY_DN32867_c2_g1_i1.p1.p1
OG0000445	SPU_022450, SPU_028092	TRINITY_DN14334_c0_g1_i1.p2.p2, TRINITY_DN14334_c0_g1_i12.p1.p1, TRINITY_DN14334_c0_g1_i20.p1.p1
OG0000446	SPU_023299, SPU_023300, SPU_023301, SPU_023302	TRINITY_DN87672_c0_g1_i3.p1.p1
OG0000447	SPU_023381	TRINITY_DN102007_c0_g1_i1.p1.p1, TRINITY_DN112055_c0_g1_i2.p1.p1, TRINITY_DN28993_c0_g1_i3.p1.p1, TRINITY_DN45054_c0_g1_i3.p1.p1
OG0000448	SPU_023464	TRINITY_DN30571_c0_g1_i7.p1.p1, TRINITY_DN65221_c0_g1_i1.p1.p1, TRINITY_DN8844_c0_g1_i8.p1.p1, TRINITY_DN91640_c0_g2_i1.p1.p1
OG0000449	SPU_025151	TRINITY_DN14207_c0_g1_i2.p1.p2, TRINITY_DN61266_c0_g1_i1.p1.p2, TRINITY_DN61266_c0_g1_i2.p1.p2, TRINITY_DN61266_c0_g1_i5.p1.p4
OG0000450	SPU_025193	TRINITY_DN10901_c0_g1_i3.p1.p1, TRINITY_DN10901_c0_g1_i4.p1.p1, TRINITY_DN10901_c0_g1_i4.p3.p2, TRINITY_DN10901_c0_g1_i6.p1.p1
OG0000451	SPU_025273	TRINITY_DN135493_c0_g1_i2.p1.p1, TRINITY_DN2064_c1_g1_i5.p1.p1, TRINITY_DN66817_c1_g1_i1.p1.p1, TRINITY_DN750_c4_g1_i1.p1.p1
OG0000452	SPU_026106	TRINITY_DN163059_c0_g1_i3.p1.p2, TRINITY_DN173044_c0_g1_i1.p1.p1, TRINITY_DN362420_c0_g1_i1.p1.p1, TRINITY_DN39607_c0_g1_i5.p1.p1
OG0000453	SPU_027716	TRINITY_DN129726_c0_g1_i1.p1.p1, TRINITY_DN175534_c0_g1_i1.p1.p1, TRINITY_DN222477_c0_g1_i1.p1.p1, TRINITY_DN71483_c0_g1_i1.p1.p1
OG0000454	SPU_028197	TRINITY_DN12005_c0_g1_i11.p1.p1, TRINITY_DN12005_c0_g1_i2.p1.p1, TRINITY_DN12005_c0_g1_i3.p1.p1, TRINITY_DN12005_c0_g1_i6.p1.p1
OG0000455	SPU_028449	TRINITY_DN12027_c0_g1_i3.p1.p1, TRINITY_DN132349_c0_g1_i1.p1.p1, TRINITY_DN224086_c0_g1_i1.p1.p1, TRINITY_DN58018_c0_g1_i2.p1.p1
OG0000456		TRINITY_DN110985_c0_g1_i1.p1.p1, TRINITY_DN145655_c0_g1_i1.p1.p1, TRINITY_DN17948_c0_g1_i9.p2.p1, TRINITY_DN245673_c0_g1_i1.p1.p1, TRINITY_DN53895_c0_g1_i1.p1.p1
OG0000457		TRINITY_DN132418_c0_g1_i1.p1.p1, TRINITY_DN237278_c0_g1_i2.p1.p1, TRINITY_DN54833_c0_g1_i2.p1.p1, TRINITY_DN54833_c0_g1_i3.p1.p1, TRINITY_DN54833_c0_g2_i2.p1.p1
OG0000458		TRINITY_DN147924_c0_g1_i1.p1.p1, TRINITY_DN147924_c0_g1_i4.p1.p1, TRINITY_DN300778_c0_g1_i1.p1.p1, TRINITY_DN45099_c0_g1_i5.p1.p1, TRINITY_DN45099_c0_g1_i7.p1.p1
OG0000459		TRINITY_DN25983_c1_g1_i2.p1.p2, TRINITY_DN25983_c1_g1_i3.p1.p1, TRINITY_DN25983_c1_g3_i1.p1.p1, TRINITY_DN46653_c0_g1_i12.p1.p1, TRINITY_DN46653_c0_g1_i9.p1.p1
OG0000460		TRINITY_DN43792_c0_g1_i3.p1.p1, TRINITY_DN43792_c0_g1_i7.p1.p1, TRINITY_DN50911_c0_g1_i7.p1.p1, TRINITY_DN6154_c1_g1_i2.p1.p1, TRINITY_DN73921_c0_g1_i4.p1.p1
OG0000461	SPU_004611	TRINITY_DN22905_c0_g1_i1.p1.p1, TRINITY_DN8144_c0_g1_i1.p1.p1, TRINITY_DN8144_c0_g1_i5.p1.p1
OG0000462	SPU_014024, SPU_026857	TRINITY_DN5565_c0_g1_i4.p1.p1, TRINITY_DN7089_c0_g1_i4.p1.p1
OG0000463	SPU_016331	TRINITY_DN3942_c0_g1_i3.p1.p1, TRINITY_DN3942_c0_g1_i8.p1.p1, TRINITY_DN3942_c0_g1_i9.p1.p1
OG0000464	SPU_005148, SPU_007418, SPU_021225	TRINITY_DN59362_c0_g1_i1.p1.p1
OG0000465	SPU_020197	TRINITY_DN121642_c0_g1_i1.p1.p1, TRINITY_DN5242_c0_g1_i1.p4.p1, TRINITY_DN7461_c0_g1_i3.p1.p1
OG0000466	SPU_002438, SPU_004087	TRINITY_DN329360_c0_g1_i1.p1.p1, TRINITY_DN329360_c0_g1_i1.p2.p3
OG0000467	SPU_005160, SPU_005665	TRINITY_DN24692_c0_g1_i1.p1.p1, TRINITY_DN9015_c0_g1_i3.p1.p1
OG0000468	SPU_026311, SPU_027229	TRINITY_DN65272_c0_g1_i4.p1.p1, TRINITY_DN76475_c0_g1_i1.p1.p1
OG0000469	SPU_004114, SPU_004116, SPU_004117	TRINITY_DN420_c0_g1_i7.p1.p1
OG0000470	SPU_010527, SPU_012840, SPU_026479	TRINITY_DN10221_c1_g2_i1.p1.p1
OG0000471	SPU_007836, SPU_017385	TRINITY_DN5477_c0_g1_i1.p1.p1, TRINITY_DN5477_c0_g1_i2.p1.p1
OG0000472	SPU_007764, SPU_015053	TRINITY_DN1538_c0_g1_i1.p1.p1, TRINITY_DN1538_c0_g1_i1.p2.p2
OG0000473	SPU_000825, SPU_000826, SPU_000827	TRINITY_DN171955_c0_g1_i1.p1.p1
OG0000474	SPU_014975, SPU_019441	TRINITY_DN1084_c1_g1_i3.p1.p1, TRINITY_DN33566_c0_g1_i2.p1.p1
OG0000475	SPU_027582	TRINITY_DN12233_c0_g1_i7.p1.p1, TRINITY_DN172816_c0_g1_i1.p1.p1, TRINITY_DN320555_c0_g1_i1.p1.p1
OG0000476	SPU_016952, SPU_019548, SPU_019549	TRINITY_DN187306_c0_g1_i1.p1.p1
OG0000477	SPU_001328, SPU_015603, SPU_015604	TRINITY_DN72706_c0_g1_i7.p1.p1
OG0000478	SPU_014730, SPU_014731, SPU_022934	TRINITY_DN107137_c0_g1_i1.p1.p1
OG0000479	SPU_005681, SPU_015453	TRINITY_DN7235_c1_g1_i1.p1.p1, TRINITY_DN8396_c2_g1_i1.p1.p1
OG0000480	SPU_007859, SPU_008227, SPU_008228	TRINITY_DN62317_c0_g1_i4.p1.p1
OG0000481	SPU_022607, SPU_028866	TRINITY_DN2028_c1_g1_i1.p1.p1, TRINITY_DN74948_c0_g1_i5.p1.p1
OG0000482	SPU_023386	TRINITY_DN8946_c0_g1_i1.p1.p1, TRINITY_DN8946_c0_g1_i2.p1.p1, TRINITY_DN8946_c0_g1_i6.p1.p1
OG0000483	SPU_010664	TRINITY_DN2934_c0_g1_i1.p1.p1, TRINITY_DN2934_c0_g1_i3.p1.p1, TRINITY_DN2934_c0_g1_i5.p1.p1
OG0000484	SPU_012763, SPU_028694	TRINITY_DN26198_c0_g1_i1.p1.p1, TRINITY_DN26198_c0_g1_i3.p1.p1
OG0000485	SPU_006876, SPU_007759, SPU_023723	TRINITY_DN38069_c0_g1_i2.p1.p1
OG0000486	SPU_002164, SPU_002165	TRINITY_DN15643_c0_g1_i4.p1.p1, TRINITY_DN15643_c0_g1_i9.p1.p1
OG0000487	SPU_019601, SPU_022988	TRINITY_DN1291_c0_g1_i6.p1.p1, TRINITY_DN237882_c0_g1_i1.p1.p2
OG0000488	SPU_003591, SPU_015613, SPU_015614	TRINITY_DN35447_c0_g1_i3.p1.p1
OG0000489	SPU_009793, SPU_025063	TRINITY_DN2049_c0_g1_i6.p1.p2, TRINITY_DN41593_c0_g1_i2.p1.p1
OG0000490	SPU_014299, SPU_017877	TRINITY_DN1278_c2_g1_i1.p1.p1, TRINITY_DN1278_c2_g1_i1.p5.p2
OG0000491	SPU_018513, SPU_022920	TRINITY_DN26671_c0_g1_i2.p1.p1, TRINITY_DN40167_c0_g1_i1.p1.p1
OG0000492	SPU_004836, SPU_005676	TRINITY_DN855_c3_g1_i1.p1.p1, TRINITY_DN855_c3_g1_i3.p1.p1
OG0000493	SPU_006513, SPU_023676	TRINITY_DN2792_c0_g1_i6.p1.p1, TRINITY_DN2792_c0_g1_i6.p2.p2
OG0000494	SPU_024074, SPU_027290	TRINITY_DN31485_c0_g2_i11.p1.p1, TRINITY_DN74243_c0_g1_i3.p1.p1
OG0000495	SPU_004230, SPU_012103, SPU_030068	TRINITY_DN1890_c1_g1_i1.p1.p1
OG0000496	SPU_004710, SPU_011913	TRINITY_DN3631_c0_g1_i3.p1.p1, TRINITY_DN52650_c0_g1_i2.p1.p1
OG0000497	SPU_008540, SPU_019839, SPU_022177	TRINITY_DN23791_c0_g1_i4.p1.p1
OG0000498	SPU_002993, SPU_025005	TRINITY_DN12394_c0_g1_i4.p1.p1, TRINITY_DN194715_c0_g1_i1.p1.p1
OG0000499	SPU_014202, SPU_018973, SPU_020319	TRINITY_DN18374_c4_g1_i6.p1.p1
OG0000500	SPU_011720, SPU_014696	TRINITY_DN75176_c0_g1_i1.p1.p1, TRINITY_DN94702_c0_g1_i2.p1.p1
OG0000501	SPU_015385	TRINITY_DN2707_c0_g1_i1.p1.p1, TRINITY_DN56504_c0_g1_i3.p1.p1, TRINITY_DN83113_c0_g1_i1.p1.p1
OG0000502	SPU_017429, SPU_020295, SPU_020296	TRINITY_DN159413_c0_g1_i1.p1.p1
OG0000503	SPU_024306, SPU_025714	TRINITY_DN10204_c0_g1_i10.p1.p1, TRINITY_DN10204_c0_g1_i6.p1.p1
OG0000504	SPU_008786, SPU_021032	TRINITY_DN10754_c4_g1_i1.p1.p1, TRINITY_DN27629_c0_g1_i3.p1.p1
OG0000505	SPU_002894, SPU_019158	TRINITY_DN19213_c0_g1_i3.p1.p1, TRINITY_DN293737_c0_g1_i1.p1.p1
OG0000506	SPU_016014, SPU_024779	TRINITY_DN59465_c0_g1_i11.p1.p1, TRINITY_DN59465_c1_g1_i1.p1.p1
OG0000507	SPU_003249	TRINITY_DN13717_c0_g1_i4.p2.p1, TRINITY_DN13717_c0_g1_i6.p1.p1, TRINITY_DN13717_c0_g1_i8.p1.p1
OG0000508	SPU_002448, SPU_013119	TRINITY_DN35697_c0_g2_i6.p2.p2, TRINITY_DN35697_c0_g2_i7.p1.p1
OG0000509	SPU_012695, SPU_017753	TRINITY_DN2944_c0_g1_i1.p1.p1, TRINITY_DN2944_c0_g2_i4.p1.p1
OG0000510	SPU_014333, SPU_026073	TRINITY_DN3887_c0_g1_i2.p1.p1, TRINITY_DN3887_c0_g1_i8.p1.p1
OG0000511	SPU_007939, SPU_030035	TRINITY_DN18439_c0_g1_i6.p1.p1, TRINITY_DN18439_c0_g1_i6.p2.p2
OG0000512	SPU_009998, SPU_015488	TRINITY_DN58981_c0_g1_i1.p1.p1, TRINITY_DN58981_c0_g1_i6.p1.p1
OG0000513	SPU_003911, SPU_003912	TRINITY_DN37458_c0_g1_i3.p1.p1, TRINITY_DN37458_c0_g1_i4.p2.p1
OG0000514	SPU_003839, SPU_023909, SPU_024714	TRINITY_DN39463_c0_g1_i1.p1.p1
OG0000515	SPU_004633, SPU_005183	TRINITY_DN204865_c0_g1_i1.p1.p1, TRINITY_DN204865_c0_g1_i2.p1.p1
OG0000516	SPU_008818, SPU_028511	TRINITY_DN40868_c0_g1_i4.p1.p1, TRINITY_DN48445_c0_g1_i1.p1.p1
OG0000517	SPU_015595	TRINITY_DN18237_c0_g1_i1.p1.p1, TRINITY_DN2390_c1_g1_i5.p1.p1, TRINITY_DN4780_c0_g1_i2.p1.p1
OG0000518	SPU_009214, SPU_011346	TRINITY_DN12011_c0_g1_i8.p1.p1, TRINITY_DN12011_c0_g1_i8.p2.p2
OG0000519	SPU_001740, SPU_024200	TRINITY_DN118780_c0_g1_i1.p1.p1, TRINITY_DN50638_c0_g1_i2.p1.p1
OG0000520	SPU_002550, SPU_011228, SPU_016546	TRINITY_DN56695_c0_g1_i1.p1.p1
OG0000521	SPU_006157, SPU_020176	TRINITY_DN3319_c1_g1_i5.p1.p1, TRINITY_DN3319_c1_g1_i5.p3.p2
OG0000522	SPU_007944, SPU_025210	TRINITY_DN6355_c0_g1_i1.p1.p1, TRINITY_DN6355_c0_g2_i1.p1.p1
OG0000523	SPU_005541, SPU_020212	TRINITY_DN119619_c0_g1_i1.p1.p1, TRINITY_DN45101_c0_g1_i33.p1.p1
OG0000524	SPU_004107, SPU_007088	TRINITY_DN30185_c0_g1_i5.p1.p1, TRINITY_DN30415_c0_g1_i3.p1.p1
OG0000525	SPU_004692, SPU_012205	TRINITY_DN10233_c0_g1_i1.p1.p1, TRINITY_DN8348_c2_g1_i7.p1.p1
OG0000526	SPU_000301, SPU_012776	TRINITY_DN2675_c0_g1_i1.p1.p1, TRINITY_DN2675_c0_g1_i1.p2.p2
OG0000527	SPU_009416, SPU_009417	TRINITY_DN102397_c0_g1_i4.p1.p1, TRINITY_DN32631_c0_g1_i7.p1.p1
OG0000528	SPU_001826, SPU_009266	TRINITY_DN11296_c0_g1_i2.p1.p1, TRINITY_DN11296_c0_g1_i5.p2.p2
OG0000529	SPU_004308, SPU_020686, SPU_022189	TRINITY_DN298175_c0_g1_i1.p1.p1
OG0000530	SPU_021387, SPU_021388	TRINITY_DN21531_c0_g1_i1.p1.p1, TRINITY_DN21531_c0_g1_i2.p1.p1
OG0000531	SPU_013096, SPU_028569	TRINITY_DN66316_c0_g1_i2.p1.p1, TRINITY_DN66316_c0_g1_i3.p1.p1
OG0000532	SPU_005718, SPU_017106, SPU_025601	TRINITY_DN675_c0_g1_i1.p1.p1
OG0000533	SPU_012410, SPU_021509, SPU_027619	TRINITY_DN217775_c2_g1_i1.p1.p1
OG0000534	SPU_012863, SPU_016082	TRINITY_DN351107_c0_g1_i1.p1.p1, TRINITY_DN92982_c0_g1_i1.p1.p1
OG0000535	SPU_012211, SPU_020955	TRINITY_DN215642_c0_g1_i2.p1.p1, TRINITY_DN37072_c0_g1_i1.p1.p1
OG0000536	SPU_016032, SPU_023929	TRINITY_DN16353_c0_g1_i1.p1.p1, TRINITY_DN18818_c0_g1_i8.p1.p1
OG0000537	SPU_010557, SPU_022414	TRINITY_DN26142_c0_g1_i2.p1.p1, TRINITY_DN26142_c0_g1_i2.p3.p1
OG0000538	SPU_024777, SPU_024778	TRINITY_DN107037_c0_g1_i1.p1.p1, TRINITY_DN1227_c0_g1_i3.p1.p1
OG0000539	SPU_015291, SPU_015292, SPU_027059	TRINITY_DN234187_c0_g1_i1.p1.p1
OG0000540	SPU_013471, SPU_023108, SPU_027570	TRINITY_DN67120_c0_g1_i1.p1.p1
OG0000541	SPU_001536, SPU_001537	TRINITY_DN193449_c0_g1_i1.p1.p1, TRINITY_DN193449_c0_g1_i2.p1.p1
OG0000542	SPU_013377, SPU_013378, SPU_018196	TRINITY_DN16413_c0_g1_i3.p1.p1
OG0000543	SPU_011476, SPU_012498	TRINITY_DN1110_c0_g1_i5.p1.p1, TRINITY_DN175208_c0_g1_i1.p1.p1
OG0000544	SPU_022889	TRINITY_DN102861_c0_g1_i1.p1.p1, TRINITY_DN107137_c0_g1_i3.p2.p1, TRINITY_DN107137_c0_g1_i7.p1.p1
OG0000545	SPU_003362, SPU_003635, SPU_018863	TRINITY_DN4949_c0_g1_i2.p1.p1
OG0000546	SPU_002078, SPU_025062, SPU_025084	TRINITY_DN355376_c0_g1_i1.p1.p1
OG0000547	SPU_002554	TRINITY_DN3421_c0_g1_i4.p1.p1, TRINITY_DN3421_c0_g1_i8.p1.p1, TRINITY_DN3421_c0_g1_i9.p1.p1
OG0000548	SPU_004861, SPU_012169	TRINITY_DN142705_c0_g1_i1.p1.p1, TRINITY_DN69921_c0_g2_i1.p1.p1
OG0000549	SPU_004725, SPU_012945	TRINITY_DN298686_c0_g1_i1.p1.p1, TRINITY_DN78862_c0_g1_i1.p1.p1
OG0000550	SPU_006498, SPU_008756, SPU_014464	TRINITY_DN61637_c0_g1_i1.p1.p1
OG0000551	SPU_000646, SPU_012039, SPU_014829	TRINITY_DN87035_c0_g1_i3.p1.p1
OG0000552	SPU_007833, SPU_017318	TRINITY_DN7415_c1_g1_i7.p1.p1, TRINITY_DN9790_c0_g1_i3.p1.p1
OG0000553	SPU_011866, SPU_014310, SPU_014311	TRINITY_DN8660_c0_g1_i2.p1.p1
OG0000554	SPU_022984, SPU_024392	TRINITY_DN17407_c0_g1_i2.p1.p1, TRINITY_DN25282_c0_g1_i1.p1.p1
OG0000555	SPU_000870, SPU_002224, SPU_006458	TRINITY_DN82816_c0_g1_i5.p1.p1
OG0000556	SPU_002879, SPU_022340	TRINITY_DN113929_c0_g1_i3.p1.p1, TRINITY_DN73275_c0_g1_i1.p1.p1
OG0000557	SPU_008268, SPU_013071, SPU_023409	TRINITY_DN1756_c0_g1_i8.p1.p1
OG0000558	SPU_006509, SPU_019417	TRINITY_DN3328_c0_g1_i1.p1.p1, TRINITY_DN8874_c0_g1_i1.p1.p1
OG0000559	SPU_008894, SPU_009509, SPU_026747	TRINITY_DN347767_c0_g1_i1.p1.p1
OG0000560	SPU_015371, SPU_026910	TRINITY_DN27872_c0_g1_i9.p1.p1, TRINITY_DN5771_c0_g1_i2.p1.p1
OG0000561	SPU_008916	TRINITY_DN22228_c0_g1_i1.p1.p1, TRINITY_DN22228_c0_g1_i3.p1.p1, TRINITY_DN22228_c0_g1_i4.p1.p1
OG0000562	SPU_000961	TRINITY_DN6941_c0_g1_i2.p1.p1, TRINITY_DN6941_c0_g1_i3.p1.p1, TRINITY_DN6941_c0_g1_i4.p1.p1
OG0000563	SPU_004122, SPU_019081	TRINITY_DN106289_c0_g1_i1.p1.p1, TRINITY_DN24126_c0_g1_i4.p1.p1
OG0000564	SPU_023118	TRINITY_DN2119_c0_g1_i2.p1.p1, TRINITY_DN66309_c0_g1_i2.p1.p1, TRINITY_DN9938_c1_g1_i8.p1.p1
OG0000565	SPU_000012, SPU_004607	TRINITY_DN1935_c1_g1_i1.p1.p1, TRINITY_DN1935_c1_g1_i4.p1.p1
OG0000566	SPU_001250, SPU_003696	TRINITY_DN5138_c0_g1_i4.p1.p1, TRINITY_DN5928_c0_g1_i4.p1.p1
OG0000567	SPU_014759	TRINITY_DN1908_c0_g1_i1.p2.p1, TRINITY_DN44265_c0_g1_i1.p1.p2, TRINITY_DN59433_c0_g1_i3.p1.p1
OG0000568	SPU_028173, SPU_028174	TRINITY_DN1426_c3_g1_i5.p1.p1, TRINITY_DN3023_c0_g1_i3.p1.p1
OG0000569	SPU_015294	TRINITY_DN118642_c0_g1_i4.p1.p1, TRINITY_DN24458_c0_g1_i1.p1.p1, TRINITY_DN30186_c0_g1_i1.p1.p1
OG0000570	SPU_015359, SPU_023486	TRINITY_DN1338_c0_g1_i8.p1.p1, TRINITY_DN321_c0_g1_i7.p1.p1
OG0000571	SPU_012186, SPU_014180	TRINITY_DN802_c0_g1_i2.p2.p1, TRINITY_DN802_c0_g1_i5.p7.p2
OG0000572	SPU_013757, SPU_026019	TRINITY_DN83170_c0_g1_i1.p1.p1, TRINITY_DN83170_c0_g1_i1.p2.p2
OG0000573	SPU_018137, SPU_018315	TRINITY_DN41620_c0_g1_i4.p1.p1, TRINITY_DN41620_c0_g1_i6.p1.p1
OG0000574	SPU_007272, SPU_007722	TRINITY_DN4599_c0_g1_i2.p1.p1, TRINITY_DN4599_c0_g2_i4.p1.p1
OG0000575	SPU_023739, SPU_025503	TRINITY_DN6191_c0_g1_i6.p1.p1, TRINITY_DN6191_c0_g1_i8.p1.p1
OG0000576	SPU_022053, SPU_022868	TRINITY_DN245297_c0_g1_i1.p1.p1, TRINITY_DN354779_c0_g1_i1.p1.p1
OG0000577	SPU_005099	TRINITY_DN6176_c1_g1_i11.p1.p1, TRINITY_DN6176_c1_g1_i7.p1.p1, TRINITY_DN6176_c1_g1_i9.p1.p1
OG0000578	SPU_004779, SPU_009742	TRINITY_DN30880_c0_g1_i3.p1.p1, TRINITY_DN80912_c0_g1_i3.p1.p1
OG0000579	SPU_003874, SPU_010593, SPU_013086	TRINITY_DN11322_c0_g1_i1.p1.p1
OG0000580	SPU_018088, SPU_026438	TRINITY_DN12259_c0_g1_i1.p1.p1, TRINITY_DN26653_c0_g1_i1.p1.p1
OG0000581	SPU_007155, SPU_027041	TRINITY_DN411897_c0_g1_i1.p1.p1, TRINITY_DN7301_c0_g1_i5.p1.p1
OG0000582	SPU_009527	TRINITY_DN46391_c0_g1_i1.p1.p1, TRINITY_DN46391_c0_g1_i4.p1.p1, TRINITY_DN46391_c0_g1_i6.p1.p1
OG0000583	SPU_007853, SPU_021742	TRINITY_DN15317_c0_g1_i2.p1.p1, TRINITY_DN15317_c0_g1_i5.p1.p1
OG0000584	SPU_016587	TRINITY_DN1867_c0_g1_i10.p1.p1, TRINITY_DN1867_c0_g1_i6.p1.p1, TRINITY_DN1867_c0_g1_i7.p2.p2
OG0000585	SPU_002079, SPU_008378	TRINITY_DN27448_c0_g1_i2.p1.p1, TRINITY_DN27448_c0_g1_i3.p1.p1
OG0000586	SPU_000368, SPU_000370, SPU_008245	TRINITY_DN116092_c0_g1_i1.p1.p1
OG0000587	SPU_022753	TRINITY_DN7181_c0_g1_i1.p1.p1, TRINITY_DN7181_c0_g1_i3.p1.p1, TRINITY_DN7181_c0_g1_i6.p1.p1
OG0000588	SPU_028833	TRINITY_DN33177_c0_g1_i1.p1.p1, TRINITY_DN33177_c0_g1_i3.p1.p1, TRINITY_DN33177_c0_g1_i4.p1.p1
OG0000589	SPU_008663	TRINITY_DN7943_c1_g1_i5.p1.p1, TRINITY_DN7943_c1_g1_i7.p1.p1, TRINITY_DN7943_c1_g1_i8.p1.p1
OG0000590	SPU_000526, SPU_008369, SPU_018112	TRINITY_DN1014_c0_g1_i3.p1.p1
OG0000591	SPU_014937, SPU_018142	TRINITY_DN8669_c0_g1_i4.p1.p1, TRINITY_DN9220_c1_g1_i4.p1.p1
